#separator:tab
#html:false
ID cell type:	Eosinophil
[...]:    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: [...] Tumor burden management: [...] Hyperviscosity management: [...]	Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis    Normal Serum-electrophoresis   M-spike in Gamma globulin region
Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - [...] Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - [...]   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - 40% Prognosis - excellent	Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - 40% Prognosis - excellent
Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD[...] and CD[...]  Negative - CD[...]    Association with EBV - 40% Prognosis - excellent	Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - 40% Prognosis - excellent
Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - [...] Prognosis - [...]	Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - 40% Prognosis - excellent
[...]:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - 40% Prognosis - excellent	Lymphocyte-rich form of Hodgkin's lymphoma:    Characteristic cells (in addition to classic RS) - Hodgkin Cell - mono-nuclear variant of RS cells Most plentiful inflammatory infiltrate cell (contributes to diffuse effacement of lymph node) - variable proportions of lymphocytes, histiocytes, eosinophils, and plasma cells   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45    Association with EBV - 40% Prognosis - excellent
FAB classification of acute myelogenous leukemias:    AML M0 - [...] AML M1 - [...] AML M2 - Myeloblastic with maturation and t(8;21) AML M3 - promyelocytic with t(15;17) AML M4 - myelomonocytic with inv(6) AML M5 - monocytic AML M6 - acute erythroid leukemia AML M7 - megakaryoblastic	FAB classification of acute myelogenous leukemias:    AML M0 - Myeloblastic, minimal differentiation AML M1 - Myeloblastic, with minimal maturation AML M2 - Myeloblastic with maturation and t(8;21) AML M3 - promyelocytic with t(15;17) AML M4 - myelomonocytic with inv(6) AML M5 - monocytic AML M6 - acute erythroid leukemia AML M7 - megakaryoblastic
FAB classification of acute myelogenous leukemias:    AML M0 - Myeloblastic, minimal differentiation AML M1 - Myeloblastic, with minimal maturation AML M2 - [...] AML M3 - [...] AML M4 - [...] AML M5 - monocytic AML M6 - acute erythroid leukemia AML M7 - megakaryoblastic	FAB classification of acute myelogenous leukemias:    AML M0 - Myeloblastic, minimal differentiation AML M1 - Myeloblastic, with minimal maturation AML M2 - Myeloblastic with maturation and t(8;21) AML M3 - promyelocytic with t(15;17) AML M4 - myelomonocytic with inv(6) AML M5 - monocytic AML M6 - acute erythroid leukemia AML M7 - megakaryoblastic
FAB classification of acute myelogenous leukemias:    AML M0 - Myeloblastic, minimal differentiation AML M1 - Myeloblastic, with minimal maturation AML M2 - Myeloblastic with maturation and t(8;21) AML M3 - promyelocytic with t(15;17) AML M4 - myelomonocytic with inv(6) AML M5 - [...] AML M6 - [...] AML M7 - [...]	FAB classification of acute myelogenous leukemias:    AML M0 - Myeloblastic, minimal differentiation AML M1 - Myeloblastic, with minimal maturation AML M2 - Myeloblastic with maturation and t(8;21) AML M3 - promyelocytic with t(15;17) AML M4 - myelomonocytic with inv(6) AML M5 - monocytic AML M6 - acute erythroid leukemia AML M7 - megakaryoblastic
Which AML presents with gum infiltration?	Monocytic (M5)   *Monoblasts and promonocytes predominate.*
Acute lymphoblastic leukemia (ALL):    85% - [...] cell lineage  Markers - CALLA (CD10) and TdT Most common age group - children   15% - [...] cell lineage  Markers - CD1,2,5,6 (T cell markers < 10) and TdT Most common age group - adolescent males (> 14)	Acute lymphoblastic leukemia (ALL):    85% - B (B-ALL) cell lineage  Markers - CALLA (CD10) and TdT Most common age group - children   15% - T (T-ALL) cell lineage  Markers - CD1,2,5,6 (T cell markers < 10) and TdT Most common age group - adolescent males (> 14)
Acute lymphoblastic leukemia (ALL):    85% - B (B-ALL) cell lineage  Markers - [...] and TdT Most common age group - children   15% - T (T-ALL) cell lineage  Markers - [...] and TdT Most common age group - adolescent males (> 14)	Acute lymphoblastic leukemia (ALL):    85% - B (B-ALL) cell lineage  Markers - CALLA (CD10) and TdT Most common age group - children   15% - T (T-ALL) cell lineage  Markers - CD1,2,5,6 (T cell markers < 10) and TdT Most common age group - adolescent males (> 14)
Acute lymphoblastic leukemia (ALL):    85% - B (B-ALL) cell lineage  Markers - CALLA (CD10) and TdT Most common age group - [...]   15% - T (T-ALL) cell lineage  Markers - CD1,2,5,6 (T cell markers < 10) and TdT Most common age group - [...]	Acute lymphoblastic leukemia (ALL):    85% - B (B-ALL) cell lineage  Markers - CALLA (CD10) and TdT Most common age group - children   15% - T (T-ALL) cell lineage  Markers - CD1,2,5,6 (T cell markers < 10) and TdT Most common age group - adolescent males (> 14)
Chronic myelogeneous leukemia:    Epidemiology - [...] yo Risk factors - [...] and [...]   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity	Chronic myelogeneous leukemia:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity
Chronic myelogeneous leukemia:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - [...] Bone marrow - extreme inrease in [...] Peripheral blood smear - extreme inrease in [...]   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity	Chronic myelogeneous leukemia:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity
Chronic myelogeneous leukemia:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t([...];[...])  Resulting chromosome - [...] Resulting protein product - [...]	Chronic myelogeneous leukemia:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity
[...]:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity	Chronic myelogeneous leukemia:    Epidemiology - 40-60 yo Risk factors - ionizing radiation and benzene   Neoplastic cell - pluripotent stem cell (potential to differentiate into the lymphoid or tri-lineage myeloid stem cell --> can progress to either AML or ALL in blast crisis) Bone marrow - extreme inrease in granulocytes and their precursors Peripheral blood smear - extreme inrease in granulocytes and their precursors   Translocation - t(9;22)  Resulting chromosome - chromosome 22 called Philadelphia chromosome (originally contains BCR) Resulting protein product - bcr-abl --> tyrosine kinase activity --> increased mitotic activity
